"league_canonical","team_id","team_name","rating_entering_latest_series","latest_history_datetime","raw_team_games","effective_combined_kills_per_minute_games","rating_attack_league","rating_defense_league","rating_attack_global","rating_defense_global","momentum_attack","momentum_mortality","momentum_bloodiness","aggression_ahead_league","behavior_ahead_profile","aggression_behind_league","behavior_behind_profile","effective_snowball_opportunities","snowball_conversion_league","snowball_close_speed_league","snowball_index_league"
"LCK","oe:team:ef69efa6acebe94107f0cf1ba716806","Dplus Kia",2026-06-07 08:09:33,2026-06-06 09:57:23,600,54.8570623423801,98.7520562428651,109.63328158919,104.457022928422,102.113118066639,-0.276724665881261,-0.594277946765018,-0.430264357948005,93.232517436979,"peaceful",98.8187644582231,"neutral",19.590927093063,96.0574712555781,103.465209368483,99.7613403120304
"LCK","oe:team:50f58982d91a36557ec8aec52ab014f","Gen.G",2026-06-14 06:27:21,2026-06-13 08:24:58,631,40.9162890817756,117.111046888661,125.016938668979,120.165652418504,116.368155284495,-5.2536761626519,7.1344116286796,-0.127188387823409,99.86742127792,"neutral",96.6692799327906,"peaceful",12.7777977424348,117.113114391702,102.359335635413,109.736225013557
"LCK","oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4","HANJIN BRION",2026-06-06 08:12:31,2026-05-31 09:03:34,444,38.3154631437534,92.1509339549552,101.166110555344,98.1004530445925,95.4191970457151,3.81841296153108,0.805359901539575,2.24752084775011,95.8541793338594,"peaceful",96.7415149148259,"peaceful",12.9936445660213,95.0507637302022,97.2246710595368,96.1377173948695
"LCK","oe:team:3a1d18f46bcb3716ebcfcf4ef068934","Hanwha Life Esports",2026-06-12 08:25:00,2026-05-31 09:03:34,578,43.9853984614535,126.834852303469,98.4899077183278,130.447330325227,93.6969883645165,-2.90643666323025,0.842352514975545,-1.21383640418037,114.80030392824,"aggressive",106.314261733408,"aggressive",15.6332877571009,113.622877052112,103.533868972341,108.578373012227
"LCK","oe:team:1d0389df0c5eea93b04122ba167c010","Kiwoom DRX",2026-05-29 08:09:08,2026-05-27 13:07:31,490,43.541504044392,96.8168862731434,90.4195774620544,102.218517845919,86.9829942190145,3.14606160627328,-4.31257512432495,-0.84398853040625,100.593608364179,"neutral",104.891828348138,"aggressive",11.2219689225309,95.9024035686938,99.1804749168148,97.5414392427543
"LCK","oe:team:d723992568441c6bafa2658129eade7","KT Rolster",2026-06-13 06:22:36,2026-06-07 12:08:41,542,40.1217483740468,96.5012361511179,102.330321049637,101.543908640262,96.8510902643309,-1.42337229555002,2.7055976441256,0.648119384510338,97.3671707480027,"neutral",97.9862847421406,"neutral",14.9074355481873,108.068059524859,97.7636354717066,102.915847498283
"LCK","oe:team:5cd2cd09ec94296f605dd13a2924d6c","Nongshim RedForce",2026-05-31 10:17:32,2026-05-28 09:44:44,462,44.6472948714472,103.250961125599,83.0670116146458,108.843938194073,80.4286847327177,3.09072269257868,-3.53552130896092,-0.489984984945607,108.395712981507,"aggressive",110.021784452789,"aggressive",14.937360120233,89.0989793492984,103.184911148001,96.1419452486497
"LCK","oe:team:ce499dea30cfce118f4fe85da0227e8","T1",2026-06-14 06:27:21,2026-06-12 11:22:17,738,46.2459650837899,117.876462897024,103.985945809808,121.764010597466,98.6719268841554,-6.33781230747083,1.36933206785885,-2.85524974793941,109.468664052293,"aggressive",100.706020101114,"neutral",16.1241765927195,110.193889354591,100.733635092781,105.463762223686
"LCS","oe:team:fc8e90107dabb9a35c490b0d86adea0","Cloud9",2026-06-13 20:14:55,2026-06-07 22:08:31,324,26.7456185920887,109.679289818196,105.708210908999,94.0574798342,118.168213690638,-13.6349577207096,2.94709118505165,-6.03956714313057,102.326859103958,"neutral",100.51461715549,"neutral",9.22373392697916,113.325231029446,103.27823066311,108.301730846278
"LCS","oe:team:0dbb780176ecad18f17292d1f5653af","Dignitas",2026-05-17 20:07:18,2026-05-09 22:43:18,204,16.9372626191506,85.7247713170062,88.5387447633967,79.4939343725529,99.5808489921275,4.5118594390561,-6.11479115540536,-1.49996024649154,100.963188714747,"neutral",97.6938321639206,"neutral",3.14072858966596,88.9757708151561,99.1520939177716,94.0639323664638
"LCS","oe:team:289284911fb6f41c0ccaecc3a0c2891","Disguised",2026-05-16 22:00:20,2026-05-09 22:43:18,84,21.4725244801387,94.9418980964593,82.8898053589424,87.085106587282,94.8962128013608,-0.482316787390275,-6.62745881182913,-3.86478441767891,100.714496415138,"neutral",109.697024177968,"aggressive",5.23317822070364,97.1282385766854,100.056687493922,98.5924630353039
"LCS","oe:team:2e66da41dc460dd378e3bcc57042d31","FlyQuest",2026-06-06 20:09:49,2026-05-30 21:55:42,341,34.1708497436347,112.828846660526,96.3880641061544,97.5791662322995,109.987842965475,-8.43105563270173,-7.80137072783013,-8.1296369966085,103.80708466732,"aggressive",108.942820808601,"aggressive",13.2683130378681,91.583946145633,99.8671260331394,95.7255360893862
"LCS","oe:team:da1143bf9a245b78a8dc86417de85b3","LYON",2026-06-14 20:16:15,2026-06-07 22:08:31,101,31.9836700907284,108.518274185427,107.844553835657,92.8406996976932,119.933855917199,-3.98036087919887,-3.08200355511266,-3.55285301364617,98.6264949716696,"neutral",101.72377744008,"neutral",10.3699806573262,108.204616762443,96.0662598408801,102.135438301662
"LCS","oe:team:f90422f1cbcb24bc2a855202582ec29","Sentinels",2026-05-30 20:10:37,2026-05-17 20:56:14,49,25.0441822778949,101.695887590346,101.707882663597,90.8654791298575,114.621564369883,-3.55152723602058,-5.08059753958715,-4.30410004307042,100.473773033026,"neutral",98.9994867160228,"neutral",7.6023251213116,97.0991098055378,96.2581502186061,96.6786300120719
"LCS","oe:team:b360f1d729b0a8e0f29a5243c4200fa","Shopify Rebellion",2026-05-31 20:08:32,2026-05-16 22:51:58,118,15.4109185930499,95.0715827454202,83.4364007673785,83.8288449726844,97.2875651888312,2.15603969535194,-13.5198038966683,-6.6731327038229,105.683374835918,"aggressive",104.515634295324,"aggressive",2.1954477631222,95.9430491875486,100.434918137356,98.1889836624521
"LCS","oe:team:8eb884e168f28402ce685bedebb5250","Team Liquid",2026-06-14 20:16:15,2026-06-13 21:59:47,361,34.5817122588857,113.998168695972,117.101418972503,97.460240184337,129.030927896502,-8.16452366317296,-6.3085161838963,-7.33280405820558,98.9335366534743,"neutral",99.0469330563416,"neutral",13.6487752740514,99.8421198711048,103.764785869421,101.803452870263
