"period","entity_type","league_canonical","entity_name","metric","value","short_level","long_level","normalized_index","momentum_percent","trend_per_week","volatility_percent","regime","observations"
2026-05-25,"team","CBLOL","LOUD","rating_attack_global",88.824134,89.465,90.354971,99.015028,-0.984972,-0.051153,2.140447,"cold_deteriorating",103
2026-05-25,"team","CBLOL","LOUD","rating_attack_league",92.801419,93.101092,92.88536,100.232256,0.232256,0.299715,2.423837,"hot_accelerating",103
2026-05-25,"team","CBLOL","LOUD","rating_defense_global",105.281496,104.67608,102.12265,102.500356,2.500356,0.903578,2.182669,"hot_accelerating",103
2026-05-25,"team","CBLOL","LOUD","rating_defense_league",100.019656,100.088782,98.232488,101.889694,1.889694,0.788921,2.994724,"hot_accelerating",103
2026-05-25,"team","CBLOL","LOUD","snowball_index_league",97.68764,99.048586,99.857914,99.18952,-0.81048,-0.245009,1.509955,"cold_deteriorating",103
2022-08-08,"team","CBLOL","Miners","aggression_ahead_league",97.161994,98.055253,99.300004,98.746474,-1.253526,-0.403368,0.644976,"cold_deteriorating",20
2022-08-08,"team","CBLOL","Miners","aggression_behind_league",95.270974,96.776704,98.803538,97.948622,-2.051378,-0.74264,0.65375,"cold_deteriorating",20
2022-08-08,"team","CBLOL","Miners","combined_kills_per_minute",1.037971,0.833206,0.805417,103.450241,3.450241,0.478014,18.135539,"hot_accelerating",20
2022-08-08,"team","CBLOL","Miners","deaths_per_minute",0.917333,0.631155,0.49764,126.829766,26.829766,3.715795,43.604153,"hot_accelerating",20
2022-08-08,"team","CBLOL","Miners","game_length_minutes",25.066667,29.985076,32.638888,91.86917,-8.13083,-1.193439,13.116915,"cold_deteriorating",20
2022-08-08,"team","CBLOL","Miners","kills_per_minute",0.120638,0.202051,0.307778,65.648335,-34.351665,-4.757092,64.634883,"cold_deteriorating",20
2022-08-08,"team","CBLOL","Miners","rating_attack_global",97.81617,99.877978,103.344244,96.645903,-3.354097,-1.323227,1.850545,"cold_deteriorating",20
2022-08-08,"team","CBLOL","Miners","rating_attack_league",89.647004,92.920902,96.307103,96.483955,-3.516045,-1.051933,1.95338,"cold_deteriorating",20
2022-08-08,"team","CBLOL","Miners","rating_defense_global",93.531362,94.382124,93.042638,101.439647,1.439647,0.889642,1.771971,"hot_accelerating",20
2022-08-08,"team","CBLOL","Miners","rating_defense_league",100.273944,100.229126,99.024043,101.216961,1.216961,0.588817,1.883655,"hot_accelerating",20
2022-08-08,"team","CBLOL","Miners","snowball_index_league",96.448542,96.287028,96.01065,100.287862,0.287862,0.428875,0.555617,"hot_accelerating",20
2026-04-27,"team","CBLOL","paiN Gaming","aggression_ahead_league",100.348376,100.414786,100.353956,100.060616,0.060616,0.034211,0.536569,"balanced",103
2026-04-27,"team","CBLOL","paiN Gaming","aggression_behind_league",103.684111,104.079819,103.12232,100.928508,0.928508,0.210534,1.727316,"hot_accelerating",103
2026-04-27,"team","CBLOL","paiN Gaming","combined_kills_per_minute",0.690572,0.830552,0.898955,92.390833,-7.609167,-0.88625,30.046052,"cold_deteriorating",103
2026-04-27,"team","CBLOL","paiN Gaming","deaths_per_minute",0.1356,0.423554,0.517399,81.862264,-18.137736,0.899471,84.357471,"cold_recovering",103
2026-04-27,"team","CBLOL","paiN Gaming","game_length_minutes",29.066667,30.360809,31.314095,96.955727,-3.044273,-0.652054,14.076253,"cold_deteriorating",103
